Datum;Titel;Medium;Land;Typ;Kategorie;Autoren;Tags
2025 02 06;Spionage-Satelliten als Zeitmaschine;RiffReporter;?;Artikel;;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;Under attack. What and when Russia shelled in Ukraine;Texty;Ukraine;Artikel;;Max Mustermann;Energie
2025 02 06;Satellietbeelden tonen verwoeste vliegtuigen op Russische vliegbasis op de Krim;De Volkskrant;;Artikel;;Max Mustermann;Energie
2025 02 06;The Illegal Airstrips Bringing Toxic Mining to Brazil’s Indigenous Land;The New York Times;Brazil;Artikel;;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;Satellites reveal widespread burning on England’s protected peatlands, despite government ban ;Unearthed;England;Artikel;;Max Mustermann;Energie
2025 02 06;Mariupol: Wunden des Krieges;Süddeutsche Zeitung;Ukraine;Artikel;;Max Mustermann;Energie
2025 02 06;Die Ukraine, vor und nach der russischen Invasion;Der Spiegel;Ukraine;Artikel;;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;Satellite Photos Show Massive Russian Column Near Kyiv Spreading Out Into Villages, Forests;Radio Free Europe/Radio Liberty;Ukraine;Artikel;;Max Mustermann;Energie
2025 02 06;Satellitenbilder zeigen weiteren Zuwachs russischer Truppen an der Grenze zur Ukraine;Der Spiegel;Ukraine;Artikel;Conflict;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;(Un)veiled threat. Russian military bases. Satellite monitoring;Texty;Russia;Artikel;;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;In Ukraine, there are about 20,000 fires on arable land yearly;Texty;Ukraine;Artikel;;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;"Russia allows methane
leaks at planet’s peril";Washington Post;Russia;Artikel;;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;Das Drama vom Kabul Airport;Die Zeit;Afghanistan;Artikel;2021 Kabul airlift;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;Reservoirs are drying up as consequences of the Western drought worsen;Washington Post;USA;Artikel;Drought;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;"How China is destroying the
Uyghur Mosques";De Volkskrant;China;Artikel;;Max Mustermann;Energie
2025 02 06;Disaster in the Himalayas;Reuters;Himalaya;Artikel;Flooding;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;The Factories in the Camps;Buzzfeed ;China;Artikel;;Max Mustermann;Energie
